,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
11911,15.0,91,17.5,95.0,overcast,1003.09,0,Winter,3.5,coastal,Rainy
330,18.0,91,18.0,91.0,partly cloudy,1000.55,1,Autumn,2.5,coastal,Rainy
5440,26.0,91,19.5,90.0,overcast,1010.6,2,Autumn,4.0,mountain,Rainy
8430,33.0,91,15.5,88.0,overcast,1017.61,1,Spring,1.5,coastal,Rainy
8982,16.0,91,14.5,81.0,partly cloudy,992.5,1,Spring,1.5,inland,Rainy
11291,37.0,91,14.5,80.0,clear,1022.4,0,Winter,12.0,coastal,Sunny
3681,58.0,91,12.0,95.0,clear,1025.82,11,Spring,9.0,coastal,Sunny
10209,27.0,91,19.0,77.0,overcast,999.46,1,Spring,2.0,inland,Rainy
6272,26.0,91,16.5,55.0,overcast,1010.76,1,Spring,3.5,mountain,Rainy
6779,4.0,91,17.5,85.0,overcast,985.71,1,Winter,3.5,mountain,Snowy
2041,29.0,91,13.5,100.0,partly cloudy,1010.07,0,Summer,1.0,inland,Rainy
10559,17.0,91,9.0,66.0,overcast,1002.44,0,Spring,4.5,coastal,Rainy
2136,-3.0,91,19.0,103.0,partly cloudy,982.83,9,Winter,5.5,inland,Snowy
9506,5.0,91,47.0,108.0,partly cloudy,995.03,2,Summer,2.5,coastal,Rainy
4976,23.0,91,15.0,69.0,overcast,1019.6,1,Winter,4.5,inland,Rainy
133,-2.0,91,2.5,83.0,overcast,982.21,1,Winter,4.0,mountain,Snowy
4898,2.0,91,4.5,50.0,overcast,992.8,0,Winter,3.5,inland,Snowy
590,32.0,91,5.5,67.0,overcast,1004.63,3,Summer,2.0,mountain,Rainy
10551,21.0,91,10.5,72.0,overcast,1013.6,1,Autumn,5.0,coastal,Rainy
2995,21.0,91,12.5,81.0,partly cloudy,1000.03,3,Spring,2.0,coastal,Rainy
12561,-10.0,91,12.0,71.0,partly cloudy,999.57,1,Winter,2.0,inland,Snowy
5002,-5.0,91,19.0,74.0,overcast,987.54,0,Winter,2.0,mountain,Snowy
9777,13.0,91,6.5,79.0,overcast,1016.87,3,Autumn,4.5,coastal,Rainy
5465,-3.0,91,13.0,75.0,overcast,995.59,1,Winter,1.5,inland,Snowy
13049,0.0,91,5.0,61.0,overcast,997.85,0,Winter,2.5,inland,Snowy
7657,-7.0,91,5.0,63.0,overcast,995.44,1,Winter,2.5,mountain,Snowy
4360,52.0,91,21.0,94.0,partly cloudy,1012.51,9,Winter,5.0,inland,Cloudy
7662,99.0,91,19.5,95.0,partly cloudy,1022.83,11,Autumn,8.5,mountain,Sunny
490,-3.0,91,19.5,51.0,overcast,985.77,0,Winter,2.5,inland,Snowy
6832,-10.0,91,16.5,85.0,overcast,996.48,1,Winter,2.5,mountain,Snowy
5010,3.0,91,3.0,60.0,overcast,993.24,0,Winter,5.0,inland,Snowy
9120,19.0,91,9.0,78.0,partly cloudy,990.55,1,Summer,3.0,inland,Rainy
997,28.0,91,8.5,86.0,clear,1029.24,6,Autumn,5.5,mountain,Sunny
5372,2.0,91,2.5,71.0,overcast,985.01,4,Winter,1.0,mountain,Snowy
10737,26.0,91,15.0,58.0,overcast,1007.24,2,Spring,2.5,coastal,Rainy
12646,-3.0,91,6.0,62.0,overcast,999.21,0,Winter,3.5,inland,Snowy
10568,-5.0,91,3.0,64.0,overcast,986.86,1,Winter,3.5,mountain,Snowy
6452,1.0,91,14.0,52.0,overcast,984.77,1,Winter,2.0,inland,Snowy
7465,3.0,91,13.5,58.0,partly cloudy,981.69,0,Winter,4.5,mountain,Snowy
12964,29.0,91,18.5,71.0,overcast,1007.47,0,Spring,4.5,inland,Rainy
2801,18.0,91,7.5,85.0,partly cloudy,997.63,2,Spring,1.5,coastal,Rainy
10198,2.0,91,12.0,89.0,partly cloudy,984.48,0,Winter,1.0,inland,Snowy
4948,2.0,91,0.5,90.0,overcast,987.3,1,Winter,4.0,mountain,Snowy
3739,17.0,91,15.0,76.0,partly cloudy,1013.57,0,Summer,2.0,mountain,Rainy
3926,23.0,91,8.5,66.0,partly cloudy,1013.72,2,Autumn,2.5,inland,Rainy
1332,4.0,91,6.0,99.0,overcast,989.59,0,Winter,4.5,mountain,Snowy
10292,-7.0,91,10.0,77.0,overcast,999.14,1,Winter,4.5,mountain,Snowy
4766,34.0,91,18.0,78.0,partly cloudy,995.17,3,Spring,1.0,mountain,Rainy
11388,33.0,91,7.0,72.0,overcast,1006.46,0,Winter,4.0,coastal,Rainy
7501,34.0,91,7.5,78.0,overcast,1011.53,0,Autumn,4.0,coastal,Rainy
3198,3.0,91,16.0,88.0,overcast,981.77,0,Winter,2.5,mountain,Snowy
2610,-7.0,91,3.0,53.0,overcast,986.24,1,Winter,1.0,mountain,Snowy
1747,1.0,91,11.0,80.0,overcast,981.37,0,Winter,3.0,inland,Snowy
7172,-9.0,91,8.5,99.0,partly cloudy,997.7,0,Winter,4.5,mountain,Snowy
1735,62.0,91,9.5,79.0,overcast,1002.43,11,Spring,6.5,mountain,Cloudy
11669,25.0,91,12.0,61.0,overcast,1004.76,1,Spring,2.0,coastal,Rainy
7989,27.0,91,13.5,75.0,overcast,998.73,1,Spring,2.5,coastal,Rainy
234,19.0,91,18.5,97.0,overcast,1011.14,0,Autumn,4.0,inland,Rainy
12687,-5.0,91,6.0,91.0,overcast,980.63,1,Winter,3.0,mountain,Snowy
11959,10.0,91,14.5,86.0,overcast,1007.81,2,Winter,3.5,inland,Rainy
5180,-2.0,91,8.0,78.0,partly cloudy,998.92,1,Winter,4.0,mountain,Snowy
11034,16.0,91,12.5,79.0,overcast,1019.07,0,Winter,2.5,inland,Rainy
12016,-2.0,91,48.5,89.0,overcast,984.91,5,Winter,3.0,mountain,Snowy
5952,-10.0,91,2.5,57.0,overcast,987.37,0,Winter,5.0,inland,Snowy
1718,1.0,91,13.0,80.0,partly cloudy,990.88,1,Winter,3.0,inland,Snowy
9904,-23.0,91,34.0,78.0,overcast,980.5,4,Winter,1.5,mountain,Snowy
8212,-3.0,91,2.0,68.0,overcast,987.53,1,Winter,2.5,inland,Snowy
5206,10.0,91,11.0,99.0,overcast,996.03,0,Winter,4.0,inland,Rainy
5998,-12.0,91,14.5,94.0,overcast,999.79,7,Winter,1.5,mountain,Snowy
3544,60.0,91,15.0,100.0,partly cloudy,1022.88,10,Summer,13.0,coastal,Sunny
8501,50.0,91,38.5,71.0,overcast,1019.95,5,Spring,3.0,inland,Rainy
10805,22.0,91,12.0,95.0,clear,1020.24,5,Autumn,11.5,mountain,Sunny
11444,4.0,91,17.5,83.0,overcast,986.17,1,Winter,1.0,mountain,Snowy
8778,29.0,91,17.0,52.0,overcast,1018.71,1,Autumn,4.0,coastal,Rainy
7122,32.0,91,5.5,100.0,partly cloudy,1024.13,14,Winter,7.0,mountain,Sunny
12669,11.0,91,34.5,82.0,overcast,1007.44,7,Winter,1.5,mountain,Rainy
648,15.0,91,6.5,92.0,overcast,993.62,0,Spring,2.5,inland,Rainy
48,26.0,91,9.5,82.0,overcast,1019.42,3,Summer,4.0,mountain,Rainy
3627,-1.0,91,19.0,54.0,overcast,985.48,0,Winter,3.0,inland,Snowy
8704,-9.0,91,8.0,75.0,overcast,990.97,1,Winter,5.0,mountain,Snowy
5731,-4.0,91,8.0,81.0,overcast,993.81,0,Winter,2.5,inland,Snowy
11694,24.0,91,7.5,95.0,clear,1016.7,7,Spring,6.0,inland,Sunny
3543,44.0,91,24.5,73.0,overcast,1017.53,2,Winter,0.5,inland,Rainy
3435,34.0,91,14.0,95.0,overcast,1000.64,3,Winter,5.0,inland,Rainy
3605,-2.0,91,16.5,53.0,overcast,982.67,1,Winter,3.0,inland,Snowy
8717,4.0,91,6.5,68.0,partly cloudy,988.51,1,Winter,4.5,mountain,Snowy
11577,-9.0,91,18.0,97.0,partly cloudy,980.52,0,Winter,4.5,mountain,Snowy
8066,26.0,91,18.0,57.0,overcast,1012.66,1,Summer,4.5,coastal,Rainy
4718,24.0,91,15.5,89.0,overcast,991.1,0,Winter,1.5,inland,Rainy
1080,22.0,91,5.0,68.0,partly cloudy,990.91,1,Winter,1.5,inland,Rainy
12219,27.0,91,18.0,86.0,partly cloudy,996.14,0,Summer,3.5,coastal,Rainy
730,76.0,91,13.5,82.0,partly cloudy,1015.18,1,Autumn,7.0,inland,Cloudy
7261,15.0,91,19.5,93.0,overcast,999.17,2,Spring,2.0,mountain,Rainy
1661,3.0,91,17.5,94.0,overcast,998.51,0,Winter,1.5,inland,Snowy
6664,21.0,91,8.5,62.0,overcast,1016.56,1,Summer,4.5,inland,Rainy
3575,34.0,91,15.5,50.0,overcast,1002.95,1,Winter,4.5,coastal,Rainy
8736,14.0,91,5.0,82.0,overcast,1014.99,0,Spring,2.0,mountain,Rainy
8084,32.0,91,13.5,91.0,overcast,1018.42,3,Summer,2.0,coastal,Rainy
2878,2.0,91,25.0,91.0,partly cloudy,989.58,13,Winter,0.5,mountain,Snowy
5760,29.0,91,13.5,65.0,partly cloudy,1018.6,1,Autumn,1.5,coastal,Rainy
965,-4.0,91,7.5,66.0,overcast,986.45,1,Winter,2.0,mountain,Snowy
10408,0.0,91,2.0,77.0,overcast,989.54,1,Winter,4.5,inland,Snowy
9218,24.0,91,14.0,97.0,overcast,993.37,0,Autumn,2.0,coastal,Rainy
13169,-1.0,91,5.5,74.0,partly cloudy,991.36,0,Winter,4.0,inland,Snowy
12362,7.0,91,22.5,106.0,overcast,988.76,2,Winter,3.5,mountain,Snowy
7207,71.0,91,5.5,80.0,clear,1024.69,7,Summer,4.0,coastal,Sunny
12136,4.0,91,11.0,89.0,overcast,986.01,0,Winter,2.5,inland,Snowy
8333,2.0,91,11.5,51.0,overcast,987.31,1,Winter,2.0,mountain,Snowy
506,29.0,91,19.5,86.0,overcast,1010.19,0,Winter,4.5,coastal,Rainy
8252,-1.0,91,17.0,78.0,overcast,984.98,1,Winter,4.5,inland,Snowy
5875,97.0,91,18.5,106.0,clear,1016.87,1,Summer,7.0,coastal,Sunny
5131,3.0,91,7.0,98.0,partly cloudy,996.67,1,Winter,5.5,inland,Snowy
1018,48.0,91,32.0,85.0,overcast,1008.97,2,Autumn,2.5,inland,Rainy
5173,32.0,91,12.0,80.0,overcast,1008.04,2,Winter,2.0,inland,Rainy
1635,3.0,91,9.5,64.0,overcast,993.39,1,Winter,2.0,inland,Snowy
9968,-3.0,91,12.5,94.0,overcast,994.52,0,Winter,4.0,inland,Snowy
2845,22.0,91,7.5,56.0,overcast,1009.16,1,Winter,2.0,coastal,Rainy
5984,19.0,91,22.0,104.0,partly cloudy,995.33,14,Autumn,4.5,coastal,Rainy
1333,-9.0,91,4.0,56.0,overcast,998.74,1,Winter,2.5,inland,Snowy
12371,-4.0,91,20.0,92.0,overcast,990.35,1,Winter,2.5,inland,Snowy
6540,-1.0,91,2.0,91.0,partly cloudy,999.65,1,Winter,3.0,inland,Snowy
5243,15.0,91,12.5,92.0,partly cloudy,1010.23,2,Summer,1.5,coastal,Rainy
3076,-2.0,91,0.5,81.0,partly cloudy,994.24,0,Winter,3.5,mountain,Snowy
6996,12.0,91,20.0,81.0,overcast,997.82,10,Autumn,2.0,mountain,Rainy
9388,-10.0,91,9.5,82.0,partly cloudy,991.4,11,Winter,1.0,mountain,Snowy
7564,17.0,91,28.5,81.0,overcast,1017.82,6,Autumn,1.0,mountain,Rainy
84,2.0,91,6.5,92.0,overcast,999.46,0,Winter,2.5,inland,Snowy
12486,23.0,91,23.0,89.0,overcast,1013.79,5,Spring,3.0,coastal,Rainy
4422,4.0,91,1.5,97.0,overcast,986.56,0,Winter,4.5,inland,Snowy
4025,-2.0,91,13.5,93.0,overcast,997.37,1,Winter,4.0,inland,Snowy
7619,-5.0,91,10.5,54.0,overcast,994.83,1,Winter,4.5,mountain,Snowy
10070,54.0,91,2.0,71.0,clear,1022.48,1,Autumn,14.5,coastal,Sunny
12075,57.0,91,37.0,71.0,partly cloudy,992.17,10,Autumn,1.0,coastal,Rainy
2348,24.0,91,21.5,91.0,overcast,1008.4,11,Spring,3.5,mountain,Rainy
8663,22.0,91,13.0,92.0,partly cloudy,1008.56,1,Spring,1.5,inland,Rainy
8451,23.0,91,3.0,82.0,overcast,1001.42,11,Winter,4.0,mountain,Cloudy
2350,0.0,91,10.5,80.0,overcast,990.11,0,Winter,2.5,mountain,Snowy
10314,-11.0,91,9.0,74.0,overcast,988.61,4,Winter,2.5,mountain,Snowy
6150,28.0,91,11.5,96.0,clear,1016.87,14,Summer,2.5,mountain,Sunny
3749,-7.0,91,15.0,81.0,partly cloudy,988.76,1,Winter,3.5,mountain,Snowy
8505,39.0,91,31.0,103.0,overcast,1012.4,8,Summer,2.0,coastal,Rainy
8447,32.0,91,11.0,76.0,overcast,1016.31,0,Spring,2.5,mountain,Rainy
850,31.0,91,29.5,104.0,overcast,995.61,8,Summer,4.5,inland,Rainy
539,19.0,91,6.5,68.0,overcast,1016.8,2,Summer,2.0,coastal,Rainy
10851,-2.0,91,11.5,87.0,partly cloudy,984.36,0,Winter,3.5,inland,Snowy
5280,26.0,91,11.0,80.0,partly cloudy,998.77,2,Winter,2.5,inland,Rainy
3253,11.0,91,33.0,73.0,partly cloudy,999.97,0,Winter,1.5,inland,Rainy
11509,30.0,91,15.5,70.0,overcast,999.97,0,Summer,3.5,inland,Rainy
7904,23.0,91,16.0,92.0,overcast,1006.15,0,Winter,1.0,inland,Rainy
3755,29.0,91,7.0,63.0,overcast,1019.93,2,Winter,3.0,mountain,Rainy
13062,33.0,91,18.5,98.0,partly cloudy,999.17,0,Spring,4.5,coastal,Rainy
4008,4.0,91,2.0,64.0,partly cloudy,994.74,0,Winter,1.5,inland,Snowy
7898,32.0,91,6.5,59.0,overcast,992.79,0,Spring,1.5,coastal,Rainy
9373,17.0,91,5.5,74.0,overcast,1013.94,9,Spring,7.5,coastal,Cloudy
6208,18.0,91,18.5,71.0,partly cloudy,1018.56,3,Winter,5.0,inland,Rainy
1846,19.0,91,15.0,61.0,overcast,1016.72,3,Summer,2.5,mountain,Rainy
1264,-4.0,91,10.5,57.0,overcast,988.43,0,Winter,2.0,inland,Snowy
1450,-2.0,91,14.5,69.0,overcast,998.51,1,Winter,3.0,mountain,Snowy
797,2.0,91,10.5,93.0,overcast,996.91,1,Winter,4.5,mountain,Snowy
9880,16.0,91,19.5,96.0,overcast,1014.41,2,Spring,4.0,coastal,Rainy
627,19.0,91,10.0,62.0,overcast,1004.94,2,Winter,2.0,coastal,Rainy
12160,-8.0,91,6.5,63.0,overcast,984.53,0,Winter,4.5,mountain,Snowy
4820,19.0,91,6.5,74.0,overcast,1014.88,3,Spring,2.5,mountain,Rainy
2722,15.0,91,19.5,77.0,overcast,1017.27,1,Autumn,1.0,mountain,Rainy
1592,17.0,91,23.0,83.0,overcast,1006.18,9,Spring,5.5,mountain,Cloudy
8643,4.0,91,19.0,79.0,overcast,992.1,0,Winter,3.5,inland,Snowy
1935,22.0,91,11.0,55.0,overcast,1001.55,3,Summer,4.5,mountain,Rainy
3806,15.0,91,30.5,83.0,partly cloudy,1009.66,13,Autumn,1.5,inland,Rainy
3914,34.0,91,5.5,95.0,partly cloudy,1013.87,0,Autumn,4.0,coastal,Rainy
5229,18.0,91,16.0,56.0,overcast,1002.86,1,Spring,2.0,coastal,Rainy
2559,25.0,91,15.0,77.0,partly cloudy,1010.41,6,Autumn,6.0,mountain,Cloudy
2864,-5.0,90,19.5,87.0,overcast,983.95,1,Winter,4.5,mountain,Snowy
2110,-4.0,90,8.0,92.0,overcast,997.91,1,Winter,4.0,inland,Snowy
11335,-8.0,90,18.5,71.0,overcast,980.67,1,Winter,2.5,mountain,Snowy
2116,-4.0,90,9.0,51.0,overcast,989.63,1,Winter,1.0,mountain,Snowy
2178,34.0,90,15.5,52.0,overcast,1014.19,1,Spring,2.0,inland,Rainy
2281,31.0,90,5.5,91.0,overcast,1009.61,3,Summer,2.0,mountain,Rainy
12957,-2.0,90,9.5,84.0,overcast,988.15,0,Winter,2.0,mountain,Snowy
183,3.0,90,9.5,87.0,overcast,997.83,0,Winter,2.5,mountain,Snowy
2363,44.0,90,5.5,87.0,clear,1028.32,11,Winter,1.5,coastal,Sunny
821,30.0,90,13.0,63.0,partly cloudy,1019.57,1,Spring,3.0,coastal,Rainy
11466,-3.0,90,8.0,89.0,overcast,998.93,1,Winter,2.5,inland,Snowy
2925,-7.0,90,17.5,69.0,overcast,993.98,0,Winter,3.0,mountain,Snowy
2343,-2.0,90,16.0,68.0,overcast,992.52,0,Winter,2.0,mountain,Snowy
1198,14.0,90,5.5,73.0,overcast,1018.61,3,Winter,5.0,coastal,Rainy
178,41.0,90,21.5,103.0,overcast,1002.15,13,Winter,4.0,coastal,Rainy
7484,8.0,90,1.5,70.0,partly cloudy,1011.19,10,Spring,7.5,mountain,Cloudy
9636,2.0,90,6.5,62.0,overcast,995.89,1,Winter,2.5,mountain,Snowy
9624,-8.0,90,5.0,52.0,overcast,989.22,1,Winter,5.0,inland,Snowy
5226,12.0,90,18.5,85.0,overcast,1000.61,0,Spring,3.5,inland,Rainy
11382,25.0,90,15.0,93.0,clear,1028.41,12,Autumn,4.5,mountain,Sunny
2900,-7.0,90,0.5,90.0,overcast,985.69,0,Winter,1.0,inland,Snowy
11437,-1.0,90,1.5,56.0,overcast,988.99,0,Winter,1.0,mountain,Snowy
2851,52.0,90,10.5,103.0,overcast,1011.17,12,Autumn,6.0,inland,Cloudy
12852,32.0,90,19.0,55.0,overcast,1007.95,0,Summer,1.5,mountain,Rainy
12023,-9.0,90,10.0,98.0,partly cloudy,996.55,0,Winter,1.5,mountain,Snowy
12925,-4.0,90,13.5,67.0,overcast,990.04,1,Winter,5.0,inland,Snowy
12585,-3.0,90,21.5,81.0,partly cloudy,983.76,13,Winter,0.5,inland,Snowy
8875,-3.0,90,34.5,76.0,overcast,991.35,8,Winter,5.0,inland,Snowy
2256,-8.0,90,7.0,78.0,overcast,987.97,1,Winter,4.0,inland,Snowy
5248,-2.0,90,8.0,59.0,overcast,990.68,1,Winter,3.5,inland,Snowy
9665,-9.0,90,10.0,63.0,overcast,998.1,0,Winter,3.5,inland,Snowy
8504,-3.0,90,2.0,51.0,overcast,991.41,0,Winter,3.0,mountain,Snowy
7586,4.0,90,3.0,92.0,overcast,987.52,0,Winter,3.0,mountain,Snowy
2948,26.0,90,26.0,88.0,partly cloudy,998.97,4,Summer,2.5,coastal,Rainy
2884,-2.0,90,4.5,92.0,overcast,989.3,0,Winter,4.0,inland,Snowy
1975,30.0,90,19.0,57.0,overcast,1013.37,3,Spring,1.0,coastal,Rainy
10371,23.0,90,17.0,94.0,partly cloudy,1017.47,0,Winter,1.0,coastal,Rainy
12348,24.0,90,1.0,89.0,clear,1015.43,14,Autumn,1.0,coastal,Sunny
12749,67.0,90,21.0,95.0,clear,1013.26,12,Summer,10.0,coastal,Sunny
2569,26.0,90,12.5,53.0,overcast,1005.02,1,Spring,5.0,mountain,Rainy
5636,15.0,90,6.5,97.0,overcast,1018.37,2,Summer,2.0,coastal,Rainy
12748,-8.0,90,7.5,56.0,overcast,999.04,0,Winter,4.5,inland,Snowy
8360,19.0,90,18.5,98.0,partly cloudy,1001.49,3,Summer,3.5,inland,Rainy
5991,-7.0,90,13.0,98.0,overcast,999.54,0,Winter,4.5,inland,Snowy
5652,0.0,90,19.5,82.0,overcast,988.89,1,Winter,1.5,inland,Snowy
9035,27.0,90,19.5,89.0,overcast,1002.45,1,Summer,2.0,inland,Rainy
9897,-1.0,90,1.0,94.0,overcast,998.32,0,Winter,4.5,mountain,Snowy
8313,1.0,90,0.5,54.0,overcast,990.0,0,Winter,3.0,inland,Snowy
10957,32.0,90,16.0,101.0,overcast,993.31,7,Autumn,2.0,coastal,Rainy
646,21.0,90,15.0,83.0,overcast,995.43,1,Summer,1.5,mountain,Rainy
12739,15.0,90,20.0,95.0,overcast,995.68,3,Spring,1.5,inland,Rainy
50,17.0,90,11.0,98.0,overcast,1017.49,3,Winter,4.0,inland,Rainy
10030,13.0,90,11.5,55.0,overcast,1003.47,2,Summer,4.5,inland,Rainy
5687,44.0,90,2.5,82.0,partly cloudy,1012.0,12,Winter,8.5,mountain,Cloudy
4669,15.0,90,9.5,71.0,partly cloudy,992.83,1,Spring,4.5,mountain,Rainy
10079,13.0,90,5.0,54.0,overcast,1004.02,1,Winter,2.0,mountain,Rainy
7024,34.0,90,14.0,81.0,partly cloudy,1017.21,2,Spring,1.5,mountain,Rainy
12750,13.0,90,14.5,93.0,overcast,1014.44,2,Autumn,4.5,inland,Rainy
3860,38.0,90,35.0,71.0,overcast,1014.97,2,Spring,1.0,coastal,Rainy
4216,0.0,90,14.5,90.0,overcast,993.79,0,Winter,3.0,inland,Snowy
3533,20.0,90,17.0,75.0,overcast,1017.62,3,Winter,2.5,mountain,Rainy
4632,-2.0,90,5.5,62.0,overcast,985.96,1,Winter,1.5,mountain,Snowy
7044,-2.0,90,6.0,94.0,overcast,990.21,0,Winter,3.5,inland,Snowy
7311,-6.0,90,20.0,95.0,overcast,989.07,1,Winter,5.0,mountain,Snowy
4197,-4.0,90,10.5,80.0,overcast,988.07,1,Winter,3.0,inland,Snowy
9874,20.0,90,14.5,66.0,partly cloudy,994.38,2,Summer,2.5,inland,Rainy
12999,-2.0,90,28.5,84.0,overcast,992.14,14,Winter,4.5,mountain,Snowy
13097,31.0,90,7.5,73.0,overcast,1019.65,8,Autumn,4.0,inland,Cloudy
10092,0.0,90,15.5,58.0,partly cloudy,990.74,0,Winter,3.0,mountain,Snowy
1849,7.0,90,20.0,94.0,overcast,1008.08,11,Spring,2.0,mountain,Rainy
10086,1.0,90,14.0,69.0,partly cloudy,986.06,0,Winter,4.0,inland,Snowy
5616,14.0,90,7.0,66.0,overcast,1011.74,0,Spring,4.5,mountain,Rainy
12146,18.0,90,15.0,73.0,overcast,998.94,0,Autumn,2.0,coastal,Rainy
12673,34.0,90,7.0,79.0,overcast,1003.12,1,Winter,4.5,inland,Rainy
2605,-3.0,90,18.5,96.0,overcast,980.43,0,Winter,3.5,inland,Snowy
3618,12.0,90,15.0,78.0,partly cloudy,1018.83,0,Winter,2.0,coastal,Rainy
9040,-3.0,90,12.5,63.0,overcast,995.56,1,Winter,5.0,mountain,Snowy
8050,23.0,90,18.5,64.0,overcast,998.47,3,Spring,3.5,mountain,Rainy
9270,53.0,90,12.5,77.0,overcast,998.02,6,Summer,2.0,mountain,Rainy
11068,-4.0,90,1.0,72.0,overcast,991.72,0,Winter,3.0,mountain,Snowy
12124,18.0,90,10.0,109.0,overcast,1002.28,14,Spring,4.0,inland,Cloudy
9264,3.0,90,3.0,68.0,overcast,995.75,0,Winter,4.5,mountain,Snowy
12390,33.0,90,18.5,68.0,partly cloudy,994.03,0,Winter,4.5,coastal,Rainy
5769,26.0,90,11.5,75.0,partly cloudy,1011.38,2,Spring,3.0,inland,Rainy
8095,13.0,90,17.0,77.0,overcast,995.15,2,Summer,4.5,mountain,Rainy
3319,3.0,90,10.0,88.0,overcast,999.86,0,Winter,5.0,mountain,Snowy
5823,-8.0,90,5.0,95.0,overcast,999.95,0,Winter,3.0,mountain,Snowy
1647,53.0,90,16.5,78.0,partly cloudy,1014.31,12,Winter,3.0,coastal,Cloudy
8728,2.0,90,13.0,69.0,overcast,989.42,1,Winter,2.0,inland,Snowy
11144,6.0,90,26.0,93.0,overcast,986.18,7,Winter,1.5,mountain,Snowy
8093,3.0,90,13.5,76.0,overcast,991.0,1,Winter,3.5,inland,Snowy
8730,14.0,90,5.0,95.0,overcast,1010.65,1,Winter,5.0,coastal,Rainy
671,14.0,90,18.0,73.0,overcast,991.27,3,Winter,2.0,inland,Rainy
5885,1.0,90,1.0,57.0,overcast,990.66,0,Winter,3.5,inland,Snowy
5896,27.0,90,13.5,97.0,partly cloudy,1018.29,1,Summer,4.0,coastal,Rainy
9318,0.0,90,1.0,97.0,overcast,982.99,1,Winter,2.5,inland,Snowy
2686,-10.0,90,3.5,73.0,overcast,989.85,0,Winter,1.5,inland,Snowy
5930,17.0,90,20.0,67.0,overcast,1007.62,3,Spring,2.0,mountain,Rainy
10997,-10.0,90,8.5,63.0,overcast,993.26,1,Winter,3.0,inland,Snowy
5928,-6.0,90,6.5,81.0,overcast,992.62,1,Winter,4.5,inland,Snowy
36,11.0,90,25.5,76.0,partly cloudy,996.17,0,Winter,1.0,mountain,Rainy
11004,-8.0,90,10.0,50.0,overcast,985.94,0,Winter,1.0,inland,Snowy
12428,31.0,90,7.5,99.0,overcast,996.82,3,Summer,4.5,mountain,Rainy
4113,12.0,90,19.0,76.0,overcast,1004.61,3,Winter,3.5,inland,Rainy
9926,15.0,90,11.0,57.0,partly cloudy,1012.32,3,Winter,5.0,coastal,Rainy
11185,23.0,90,11.0,61.0,overcast,1015.38,3,Spring,1.5,mountain,Rainy
13164,-3.0,90,2.0,90.0,overcast,983.55,1,Winter,2.0,inland,Snowy
7263,-6.0,90,13.5,94.0,overcast,988.68,0,Winter,3.5,inland,Snowy
11027,1.0,90,16.5,90.0,overcast,981.51,0,Winter,1.5,inland,Snowy
12693,16.0,90,16.5,77.0,partly cloudy,991.95,1,Winter,4.5,inland,Rainy
8150,20.0,90,24.5,73.0,partly cloudy,996.85,14,Winter,1.5,inland,Rainy
3919,24.0,90,6.0,52.0,overcast,990.47,1,Spring,1.0,coastal,Rainy
7672,22.0,90,12.5,53.0,overcast,1001.14,0,Winter,5.0,coastal,Rainy
11238,4.0,90,7.0,57.0,overcast,999.67,0,Winter,3.0,inland,Snowy
13020,16.0,90,15.0,74.0,partly cloudy,1016.62,2,Summer,1.5,coastal,Rainy
1556,23.0,90,13.5,53.0,overcast,992.4,3,Spring,3.0,inland,Rainy
1937,-4.0,90,10.0,62.0,overcast,995.39,1,Winter,5.0,mountain,Snowy
4005,27.0,90,9.5,92.0,clear,1012.38,13,Summer,6.5,inland,Sunny
9451,23.0,90,19.0,73.0,partly cloudy,1003.62,1,Winter,1.5,mountain,Rainy
11746,30.0,90,7.5,76.0,overcast,1003.0,3,Spring,4.0,coastal,Rainy
8295,89.0,90,6.5,70.0,clear,1016.1,5,Spring,2.5,inland,Sunny
11932,-10.0,90,10.0,66.0,overcast,988.58,1,Winter,4.0,inland,Snowy
10784,22.0,90,13.0,93.0,overcast,996.01,2,Autumn,3.5,mountain,Rainy
11498,-10.0,90,17.0,82.0,overcast,994.75,1,Winter,3.5,inland,Snowy
1970,4.0,90,17.5,53.0,overcast,985.0,1,Winter,2.0,inland,Snowy
10773,4.0,90,0.5,69.0,partly cloudy,985.32,0,Winter,1.5,mountain,Snowy
9462,0.0,90,4.0,72.0,overcast,988.33,0,Winter,3.0,inland,Snowy
3390,42.0,90,41.0,89.0,overcast,1003.01,6,Spring,4.0,coastal,Rainy
3385,10.0,90,6.0,54.0,overcast,994.68,0,Summer,3.0,inland,Rainy
2468,2.0,90,9.0,96.0,overcast,994.9,6,Winter,2.0,mountain,Snowy
10747,-2.0,90,4.5,81.0,overcast,986.21,1,Winter,3.5,mountain,Snowy
2438,10.0,90,11.0,78.0,partly cloudy,992.09,2,Autumn,4.5,inland,Rainy
3238,-10.0,90,8.0,62.0,overcast,993.68,1,Winter,2.0,mountain,Snowy
2031,29.0,90,5.5,72.0,partly cloudy,991.74,3,Winter,4.0,inland,Rainy
7388,-10.0,90,11.5,99.0,partly cloudy,988.71,1,Winter,2.0,mountain,Snowy
2444,17.0,90,12.5,107.0,partly cloudy,1015.25,3,Summer,8.0,coastal,Cloudy
10738,33.0,90,10.5,108.0,overcast,1008.59,5,Winter,7.5,inland,Cloudy
6285,38.0,90,36.5,109.0,partly cloudy,998.71,14,Autumn,0.5,inland,Rainy
